,HealthTopic,Population,Indicator,Unit,Time,RegionCode,RegionName,NumValue,Distribution,Category,Value
51,Dengue,All cases,Age standardised rate,%,2008,EE,Estonia,38.72296870564878,Distribution by gender,Female,13.220677757717878
52,Dengue,All cases,Age standardised rate,%,2008,EE,Estonia,38.72296870564878,Distribution by travel associated,Yes,13.220677757717878
53,Dengue,All cases,Age standardised rate,%,2008,EE,Estonia,38.72296870564878,Distribution by travel associated,No,13.220677757717878
55,Dengue,All cases,Age standardised rate,%,2008,EL,Greece,38.72296870564878,Distribution by age,0-4,13.220677757717878
56,Dengue,All cases,Age standardised rate,%,2008,EL,Greece,38.72296870564878,Distribution by age,5-14,13.220677757717878
57,Dengue,All cases,Age standardised rate,%,2008,EL,Greece,38.72296870564878,Distribution by age,15-24,13.220677757717878
58,Dengue,All cases,Age standardised rate,%,2008,EL,Greece,38.72296870564878,Distribution by age,25-44,13.220677757717878
44,Dengue,All cases,Age standardised rate,%,2008,EE,Estonia,38.72296870564878,Distribution by age,0-4,13.220677757717878
45,Dengue,All cases,Age standardised rate,%,2008,EE,Estonia,38.72296870564878,Distribution by age,5-14,13.220677757717878
46,Dengue,All cases,Age standardised rate,%,2008,EE,Estonia,38.72296870564878,Distribution by age,15-24,13.220677757717878
47,Dengue,All cases,Age standardised rate,%,2008,EE,Estonia,38.72296870564878,Distribution by age,25-44,13.220677757717878
34,Dengue,All cases,Age standardised rate,%,2008,DE,Germany,38.72296870564878,Distribution by age,5-14,2.56410256
35,Dengue,All cases,Age standardised rate,%,2008,DE,Germany,38.72296870564878,Distribution by age,15-24,15.01831501
36,Dengue,All cases,Age standardised rate,%,2008,DE,Germany,38.72296870564878,Distribution by age,25-44,50.91575091
18,Dengue,All cases,Age standardised rate,%,2008,BE,Belgium,38.72296870564878,Distribution by gender,Female,13.220677757717878
1,Dengue,All cases,Age standardised rate,%,2008,AT,Austria,38.72296870564878,Distribution by age,5-14,13.220677757717878
2,Dengue,All cases,Age standardised rate,%,2008,AT,Austria,38.72296870564878,Distribution by age,15-24,13.220677757717878
3,Dengue,All cases,Age standardised rate,%,2008,AT,Austria,38.72296870564878,Distribution by age,25-44,13.220677757717878
4,Dengue,All cases,Age standardised rate,%,2008,AT,Austria,38.72296870564878,Distribution by age,45-64,13.220677757717878
5,Dengue,All cases,Age standardised rate,%,2008,AT,Austria,38.72296870564878,Distribution by age,65+,13.220677757717878
6,Dengue,All cases,Age standardised rate,%,2008,AT,Austria,38.72296870564878,Distribution by gender,Male,13.220677757717878
39,Dengue,All cases,Age standardised rate,%,2008,DE,Germany,38.72296870564878,Distribution by gender,Male,60.43956043
40,Dengue,All cases,Age standardised rate,%,2008,DE,Germany,38.72296870564878,Distribution by gender,Female,39.56043956
41,Dengue,All cases,Age standardised rate,%,2008,DE,Germany,38.72296870564878,Distribution by travel associated,Yes,99.63369963
42,Dengue,All cases,Age standardised rate,%,2008,DE,Germany,38.72296870564878,Distribution by travel associated,No,0.0
13,Dengue,All cases,Age standardised rate,%,2008,BE,Belgium,38.72296870564878,Distribution by age,15-24,23.33333333
14,Dengue,All cases,Age standardised rate,%,2008,BE,Belgium,38.72296870564878,Distribution by age,25-44,43.33333333
15,Dengue,All cases,Age standardised rate,%,2008,BE,Belgium,38.72296870564878,Distribution by age,45-64,30.0
16,Dengue,All cases,Age standardised rate,%,2008,BE,Belgium,38.72296870564878,Distribution by age,65+,0.0
50,Dengue,All cases,Age standardised rate,%,2008,EE,Estonia,38.72296870564878,Distribution by gender,Male,13.220677757717878
80,Dengue,All cases,Age standardised rate,%,2008,EU27_21,EU (without UK),38.72296870564878,Distribution by age,25-44,46.946564
81,Dengue,All cases,Age standardised rate,%,2008,EU27_21,EU (without UK),38.72296870564878,Distribution by age,45-64,29.198473
82,Dengue,All cases,Age standardised rate,%,2008,EU27_21,EU (without UK),38.72296870564878,Distribution by age,65+,4.961832
83,Dengue,All cases,Age standardised rate,%,2008,EU27_21,EU (without UK),38.72296870564878,Distribution by gender,Male,54.741379
84,Dengue,All cases,Age standardised rate,%,2008,EU27_21,EU (without UK),38.72296870564878,Distribution by gender,Female,45.25862
85,Dengue,All cases,Age standardised rate,%,2008,EU27_21,EU (without UK),38.72296870564878,Distribution by travel associated,Yes,92.025862
86,Dengue,All cases,Age standardised rate,%,2008,EU27_21,EU (without UK),38.72296870564878,Distribution by travel associated,No,0.0
88,Dengue,All cases,Age standardised rate,%,2008,EU27_UK_21,EU (with UK until 2019),38.72296870564878,Distribution by age,0-4,0.188679
89,Dengue,All cases,Age standardised rate,%,2008,EU27_UK_21,EU (with UK until 2019),38.72296870564878,Distribution by age,5-14,3.207547
90,Dengue,All cases,Age standardised rate,%,2008,EU27_UK_21,EU (with UK until 2019),38.72296870564878,Distribution by age,15-24,15.283018
91,Dengue,All cases,Age standardised rate,%,2008,EU27_UK_21,EU (with UK until 2019),38.72296870564878,Distribution by age,25-44,47.169811
92,Dengue,All cases,Age standardised rate,%,2008,EU27_UK_21,EU (with UK until 2019),38.72296870564878,Distribution by age,45-64,29.245283
93,Dengue,All cases,Age standardised rate,%,2008,EU27_UK_21,EU (with UK until 2019),38.72296870564878,Distribution by age,65+,4.90566
94,Dengue,All cases,Age standardised rate,%,2008,EU27_UK_21,EU (with UK until 2019),38.72296870564878,Distribution by gender,Male,54.893617
95,Dengue,All cases,Age standardised rate,%,2008,EU27_UK_21,EU (with UK until 2019),38.72296870564878,Distribution by gender,Female,45.106382
96,Dengue,All cases,Age standardised rate,%,2008,EU27_UK_21,EU (with UK until 2019),38.72296870564878,Distribution by travel associated,Yes,91.276595
97,Dengue,All cases,Age standardised rate,%,2008,EU27_UK_21,EU (with UK until 2019),38.72296870564878,Distribution by travel associated,No,0.851063
99,Dengue,All cases,Age standardised rate,%,2008,EUEEA30_21,EU/EEA (without UK),38.72296870564878,Distribution by age,0-4,0.190839
100,Dengue,All cases,Age standardised rate,%,2008,EUEEA30_21,EU/EEA (without UK),38.72296870564878,Distribution by age,5-14,3.244274
101,Dengue,All cases,Age standardised rate,%,2008,EUEEA30_21,EU/EEA (without UK),38.72296870564878,Distribution by age,15-24,15.458015
102,Dengue,All cases,Age standardised rate,%,2008,EUEEA30_21,EU/EEA (without UK),38.72296870564878,Distribution by age,25-44,46.946564
103,Dengue,All cases,Age standardised rate,%,2008,EUEEA30_21,EU/EEA (without UK),38.72296870564878,Distribution by age,45-64,29.198473
104,Dengue,All cases,Age standardised rate,%,2008,EUEEA30_21,EU/EEA (without UK),38.72296870564878,Distribution by age,65+,4.961832
105,Dengue,All cases,Age standardised rate,%,2008,EUEEA30_21,EU/EEA (without UK),38.72296870564878,Distribution by gender,Male,54.741379
